Altium Designer Pick and Place Locations
C:\Dev\clock\Outputs\2020-09-14\Pick Place for clock.csv

========================================================================================================================
File Design Information:

Date:       14/09/20
Time:       18:28
Revision:   9bb170217a2c4259f658023d10216b064a0e4b12
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"S2","4-1437565-1","BottomLayer","EVQP7C01P","1047.0000mm","1077.9080mm","360","6x6mm SMD tactile switch,5mm H 1.6N Black Button Tactile Switch, SPST-NO 0.05 A@ 12 V dc 1.4mm"
"R3","RES0603","BottomLayer","RESC1608X03L","1021.2274mm","1006.1691mm","360","Chip Resistor"
"R4","RES0603","BottomLayer","RESC1608X03L","1015.4848mm","1005.3875mm","180","Chip Resistor"
"S1","4-1437565-1","BottomLayer","EVQP7C01P","1062.9110mm","1061.9996mm","270","6x6mm SMD tactile switch,5mm H 1.6N Black Button Tactile Switch, SPST-NO 0.05 A@ 12 V dc 1.4mm"
"R6","RES0603","BottomLayer","RESC1608X03L","1042.4508mm","1023.0331mm","90","Chip Resistor"
"C20","Cap","BottomLayer","CAPC_1206_3216X16L","1039.2331mm","1010.5000mm","180","Capacitor"
"J1","USB Micro B","BottomLayer","USB_1051330011","1032.5100mm","1010.4090mm","180",""
"IC2","TXB0104PWR","BottomLayer","TSOP65P640X120-14L","1004.6970mm","1014.6030mm","180",""
"C2","Cap","BottomLayer","CAPC_0603_1608X08L","1002.5720mm","1018.1590mm","180","Capacitor"
"C1","Cap","BottomLayer","CAPC_0603_1608X08L","1002.5720mm","1010.7930mm","180","Capacitor"
"IC7","ESP8266 ESP-12-F","BottomLayer","ESP8266_ESP-12-E","1055.2899mm","1017.0320mm","360","ESP8266 ESP-12-F"
"U8","MOSFET-P","BottomLayer","SOT95P230X110-3L","1020.3150mm","1038.0370mm","0",""
"U7","MOSFET-P","BottomLayer","SOT95P230X110-3L","1052.0084mm","1046.4603mm","180",""
"U6","MOSFET-P","BottomLayer","SOT95P230X110-3L","1030.0000mm","1062.0750mm","270",""
"U5","MOSFET-P","BottomLayer","SOT95P230X110-3L","1023.1500mm","1061.4780mm","180",""
"U4","MOSFET-P","BottomLayer","SOT95P230X110-3L","1012.9473mm","1046.2700mm","180",""
"U3","MOSFET-P","BottomLayer","SOT95P230X110-3L","1020.9241mm","1030.2140mm","270",""
"U2","MOSFET-P","BottomLayer","SOT95P230X110-3L","1051.9093mm","1038.9810mm","360",""
"U1","MOSFET-P","BottomLayer","SOT95P230X110-3L","1038.0980mm","1060.8310mm","360",""
"DIG1","KCSA03-105","BottomLayer","KCSA03105","1019.8000mm","1051.0000mm","180",""
"D74","LED","TopLayer","LED_0402","1032.6936mm","1052.4569mm","262",""
"D73","LED","TopLayer","LED_0402","1032.2876mm","1049.3871mm","262",""
"D72","LED","TopLayer","LED_0402","1029.4687mm","1073.8412mm","96.0000076293945",""
"D71","LED","TopLayer","LED_0402","1026.4706mm","1073.3663mm","102",""
"D70","LED","TopLayer","LED_0402","1023.5385mm","1072.5807mm","108",""
"D69","LED","TopLayer","LED_0402","1020.7046mm","1071.4928mm","114.000007629395",""
"D68","LED","TopLayer","LED_0402","1019.0000mm","1068.3827mm","120",""
"D67","LED","TopLayer","LED_0402","1018.0000mm","1070.1148mm","120",""
"D66","LED","TopLayer","LED_0402","1015.4542mm","1068.4615mm","126.000007629395",""
"D65","LED","TopLayer","LED_0402","1013.0952mm","1066.5512mm","132",""
"D64","LED","TopLayer","LED_0402","1010.9488mm","1064.4048mm","138",""
"D63","LED","TopLayer","LED_0402","1009.0385mm","1062.0458mm","144",""
"D62","LED","TopLayer","LED_0402","1007.3853mm","1059.5000mm","150.000015258789",""
"D61","LED","TopLayer","LED_0402","1009.1173mm","1058.5000mm","150.000015258789",""
"D60","LED","TopLayer","LED_0402","1006.0072mm","1056.7954mm","156",""
"D59","LED","TopLayer","LED_0402","1004.9194mm","1053.9615mm","162.000015258789",""
"D58","LED","TopLayer","LED_0402","1004.1337mm","1051.0294mm","168",""
"D57","LED","TopLayer","LED_0402","1003.6589mm","1048.0313mm","174",""
"D56","LED","TopLayer","LED_0402","1003.5000mm","1045.0000mm","180",""
"D55","LED","TopLayer","LED_0402","1005.5000mm","1045.0000mm","180",""
"D54","LED","TopLayer","LED_0402","1003.6589mm","1041.9687mm","186",""
"D53","LED","TopLayer","LED_0402","1004.1337mm","1038.9706mm","192",""
"D52","LED","TopLayer","LED_0402","1004.9194mm","1036.0385mm","197.999984741211",""
"D51","LED","TopLayer","LED_0402","1006.0072mm","1033.2046mm","204",""
"D50","LED","TopLayer","LED_0402","1007.3853mm","1030.5000mm","209.999984741211",""
"D49","LED","TopLayer","LED_0402","1009.1173mm","1031.5000mm","209.999984741211",""
"D48","LED","TopLayer","LED_0402","1009.0385mm","1027.9542mm","216",""
"D47","LED","TopLayer","LED_0402","1010.9488mm","1025.5952mm","222",""
"D46","LED","TopLayer","LED_0402","1013.0952mm","1023.4488mm","228",""
"D45","LED","TopLayer","LED_0402","1015.4542mm","1021.5385mm","233.999992370605",""
"D44","LED","TopLayer","LED_0402","1018.0000mm","1019.8853mm","240",""
"D43","LED","TopLayer","LED_0402","1019.0000mm","1021.6173mm","240",""
"D42","LED","TopLayer","LED_0402","1020.7046mm","1018.5072mm","245.999992370605",""
"D41","LED","TopLayer","LED_0402","1023.5385mm","1017.4194mm","252",""
"D40","LED","TopLayer","LED_0402","1026.4706mm","1016.6337mm","258",""
"D39","LED","TopLayer","LED_0402","1029.4687mm","1016.1589mm","263.999992370605",""
"D38","LED","TopLayer","LED_0402","1032.5000mm","1016.0000mm","270",""
"D37","LED","TopLayer","LED_0402","1032.5000mm","1018.0000mm","270",""
"D36","LED","TopLayer","LED_0402","1035.5313mm","1016.1589mm","276.000007629395",""
"D35","LED","TopLayer","LED_0402","1038.5294mm","1016.6337mm","282",""
"D34","LED","TopLayer","LED_0402","1041.4615mm","1017.4194mm","288",""
"D33","LED","TopLayer","LED_0402","1044.2954mm","1018.5072mm","294.000007629395",""
"D32","LED","TopLayer","LED_0402","1047.0000mm","1019.8853mm","300",""
"D31","LED","TopLayer","LED_0402","1046.0000mm","1021.6173mm","300",""
"D30","LED","TopLayer","LED_0402","1049.5458mm","1021.5385mm","306.000003814697",""
"D29","LED","TopLayer","LED_0402","1051.9048mm","1023.4488mm","312.000003814697",""
"D28","LED","TopLayer","LED_0402","1054.0512mm","1025.5952mm","318",""
"D27","LED","TopLayer","LED_0402","1055.9615mm","1027.9542mm","324",""
"D26","LED","TopLayer","LED_0402","1057.6148mm","1030.5000mm","330",""
"D25","LED","TopLayer","LED_0402","1055.8827mm","1031.5000mm","330",""
"D24","LED","TopLayer","LED_0402","1058.9928mm","1033.2046mm","335.999998092651",""
"D23","LED","TopLayer","LED_0402","1060.0807mm","1036.0385mm","342.000001907349",""
"D22","LED","TopLayer","LED_0402","1060.8663mm","1038.9706mm","348",""
"D21","LED","TopLayer","LED_0402","1061.3412mm","1041.9687mm","353.999999046326",""
"D20","LED","TopLayer","LED_0402","1061.5000mm","1045.0000mm","360",""
"D19","LED","TopLayer","LED_0402","1059.5000mm","1045.0000mm","360",""
"D18","LED","TopLayer","LED_0402","1061.3412mm","1048.0313mm","6.00000095367432",""
"D17","LED","TopLayer","LED_0402","1060.8663mm","1051.0294mm","12",""
"D16","LED","TopLayer","LED_0402","1060.0807mm","1053.9615mm","17.9999980926514",""
"D15","LED","TopLayer","LED_0402","1058.9928mm","1056.7954mm","24.0000019073486",""
"D14","LED","TopLayer","LED_0402","1055.8827mm","1058.5000mm","30",""
"D13","LED","TopLayer","LED_0402","1057.6148mm","1059.5000mm","30",""
"D12","LED","TopLayer","LED_0402","1055.9615mm","1062.0458mm","36",""
"D11","LED","TopLayer","LED_0402","1054.0477mm","1064.4361mm","42.0504531860352",""
"D10","LED","TopLayer","LED_0402","1051.9048mm","1066.5512mm","47.9999961853027",""
"D9","LED","TopLayer","LED_0402","1049.5458mm","1068.4615mm","53.9999961853027",""
"D8","LED","TopLayer","LED_0402","1046.0000mm","1068.3827mm","60",""
"D7","LED","TopLayer","LED_0402","1047.0000mm","1070.1148mm","60",""
"D6","LED","TopLayer","LED_0402","1044.2954mm","1071.4928mm","65.9999923706055",""
"D5","LED","TopLayer","LED_0402","1041.4615mm","1072.5807mm","72",""
"D4","LED","TopLayer","LED_0402","1038.5294mm","1073.3663mm","78",""
"D3","LED","TopLayer","LED_0402","1035.5313mm","1073.8412mm","83.9999923706055",""
"D2","LED","TopLayer","LED_0402","1032.5000mm","1072.0000mm","90",""
"D1","LED","TopLayer","LED_0402","1032.5000mm","1074.0000mm","90",""
"R5","RES0603","BottomLayer","RESC1608X03L","1001.6500mm","1005.0570mm","90","Chip Resistor"
"IC4","STM32F030F4P6","BottomLayer","TSOP65P630X120-20L","1006.3480mm","1005.3320mm","360","Microcontroller 4KB RAM 16KB Flash"
"C18","Cap","BottomLayer","CAPC_0603_1608X08L","1001.6405mm","1002.6618mm","90","Capacitor"
"R8","RES0603","BottomLayer","RESC1608X03L","1063.3250mm","1027.2000mm","180","Chip Resistor"
"R7","RES0603","BottomLayer","RESC1608X03L","1041.0750mm","1023.0331mm","90","Chip Resistor"
"CON1","CON4","BottomLayer","CON4","1016.9052mm","1002.5035mm","360","Header 4 way"
"CON2","CON6","BottomLayer","CON2X3","1043.8800mm","1004.1250mm","270","Debug header 6 way"
"C19","Cap","BottomLayer","CAPC_0603_1608X08L","1044.9500mm","1022.3006mm","90","Capacitor"
"R2","RES0603","BottomLayer","RESC1608X03L","1021.2070mm","1011.9300mm","90","Chip Resistor"
"PD1","SFH203","BottomLayer","BP_104_S","1020.2500mm","1076.9250mm","180","Photodiode"
"IC6","LM358","BottomLayer","TSOP65P640X120-8L","1025.0170mm","1008.3800mm","270","Dual opamp"
"C15","Cap","BottomLayer","CAPC_0603_1608X08L","1024.7670mm","1003.4000mm","180","Capacitor"
"C14","Cap","BottomLayer","CAPC_0603_1608X08L","1022.6040mm","1011.9550mm","270","Capacitor"
"R1","RES0603","BottomLayer","RESC1608X03L","1020.9750mm","1008.5680mm","90","Chip Resistor"
"IC5","MC33375ST-3.3T3G","BottomLayer","SOT230P700X180-4N","1031.3000mm","1003.8000mm","180","3.3v LDO"
"IC3","SN74HC138","BottomLayer","TSOP65P640X110-16L","1004.3160mm","1023.1120mm","180",""
"IC1","LED1642GW","BottomLayer","TSOP65P640X120-24L","1016.2540mm","1010.7930mm","360",""
"DIG7","KCSA03-105","BottomLayer","KCSA03105","1028.6500mm","1037.1000mm","180",""
