Altium Designer Pick and Place Locations
C:\Dev\clock\Outputs\2020-09-30\Pick Place for clock.csv

========================================================================================================================
File Design Information:

Date:       30/09/20
Time:       10:26
Revision:   e0d49e6010821f9c8f34bd540e26566a28244ce0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"IC4","STM32G030F6P6","BottomLayer","TSOP65P630X120-20L","-24.7084mm","-38.4481mm","360",""
"IC3","TLC5949PWP","BottomLayer","TSOP65P640X120-24L_-_POWERPAD","-17.0000mm","-30.2500mm","0",""
"R16","RES0603","BottomLayer","RESC1608X03L","-15.5955mm","-7.2130mm","270","Chip Resistor"
"R14","RES0603","BottomLayer","RESC1608X03L","23.0407mm","2.6087mm","90","Chip Resistor"
"R12","RES0603","BottomLayer","RESC1608X03L","-2.2500mm","20.5011mm","180","Chip Resistor"
"R10","RES0603","BottomLayer","RESC1608X03L","-5.5484mm","19.0833mm","90","Chip Resistor"
"R8","RES0603","BottomLayer","RESC1608X03L","-20.2118mm","-0.7852mm","180","Chip Resistor"
"R6","RES0603","BottomLayer","RESC1608X03L","-12.4494mm","-12.3498mm","180","Chip Resistor"
"R4","RES0603","BottomLayer","RESC1608X03L","23.6680mm","-4.7000mm","270","Chip Resistor"
"R2","RES0603","BottomLayer","RESC1608X03L","6.0869mm","18.0590mm","270","Chip Resistor"
"R17","RES0603","BottomLayer","RESC1608X03L","-14.3684mm","-7.2130mm","90","Chip Resistor"
"R15","RES0603","BottomLayer","RESC1608X03L","21.8423mm","2.6087mm","270","Chip Resistor"
"R13","RES0603","BottomLayer","RESC1608X03L","-2.2500mm","19.2715mm","360","Chip Resistor"
"R11","RES0603","BottomLayer","RESC1608X03L","-6.7462mm","19.0833mm","270","Chip Resistor"
"R9","RES0603","BottomLayer","RESC1608X03L","-20.2118mm","0.3922mm","360","Chip Resistor"
"R7","RES0603","BottomLayer","RESC1608X03L","-12.4494mm","-13.5362mm","360","Chip Resistor"
"R5","RES0603","BottomLayer","RESC1608X03L","22.4460mm","-4.7000mm","90","Chip Resistor"
"R3","RES0603","BottomLayer","RESC1608X03L","7.1871mm","18.0590mm","90","Chip Resistor"
"R19","RES0603","BottomLayer","RESC1608X03L","-25.3069mm","-43.5021mm","360","Chip Resistor"
"C18","Cap","BottomLayer","CAPC_0603_1608X08L","-27.7021mm","-43.5021mm","360","Capacitor"
"S2","4-1437565-1","BottomLayer","EVQP7C01P","17.5950mm","27.9001mm","360","6x6mm SMD tactile switch,5mm H 1.6N Black Button Tactile Switch, SPST-NO 0.05 A@ 12 V dc 1.4mm"
"S1","4-1437565-1","BottomLayer","EVQP7C01P","27.8981mm","17.3447mm","270","6x6mm SMD tactile switch,5mm H 1.6N Black Button Tactile Switch, SPST-NO 0.05 A@ 12 V dc 1.4mm"
"R20","RES0603","BottomLayer","RESC1608X03L","9.6036mm","-30.9191mm","360","Chip Resistor"
"C20","Cap","BottomLayer","CAPC_1206_3216X16L","2.7000mm","-30.5000mm","180","Capacitor"
"J1","USB Micro B","BottomLayer","USB_1051330011","0.0000mm","-34.0000mm","180",""
"IC1","TXB0104PWR","BottomLayer","TSOP65P640X120-14L","-26.1840mm","-29.9269mm","180",""
"C2","Cap","BottomLayer","CAPC_0603_1608X08L","-28.3090mm","-26.3698mm","180","Capacitor"
"C1","Cap","BottomLayer","CAPC_0603_1608X08L","-28.3090mm","-33.2578mm","180","Capacitor"
"IC7","ESP8266 ESP-12-F","BottomLayer","ESP8266_ESP-12-E","20.6899mm","-28.1966mm","360","ESP8266 ESP-12-F"
"U8","MOSFET-P","BottomLayer","SOT95P230X110-3L","-12.1850mm","-6.9630mm","0",""
"U7","MOSFET-P","BottomLayer","SOT95P230X110-3L","19.5903mm","2.3682mm","180",""
"U6","MOSFET-P","BottomLayer","SOT95P230X110-3L","-2.5000mm","17.0750mm","270",""
"U5","MOSFET-P","BottomLayer","SOT95P230X110-3L","-8.9260mm","18.8333mm","180",""
"U4","MOSFET-P","BottomLayer","SOT95P230X110-3L","-20.4618mm","2.5966mm","90",""
"U3","MOSFET-P","BottomLayer","SOT95P230X110-3L","-12.1994mm","-15.6655mm","270",""
"U2","MOSFET-P","BottomLayer","SOT95P230X110-3L","20.2603mm","-5.0724mm","360",""
"U1","MOSFET-P","BottomLayer","SOT95P230X110-3L","9.2624mm","17.8090mm","360",""
"DIG1","KCSA03-105","BottomLayer","KCSA03105","-12.7000mm","6.0000mm","180",""
"D74","LED","TopLayer","0603_CHIP_SMD_LED","0.1524mm","7.3040mm","270",""
"D73","LED","TopLayer","0603_CHIP_SMD_LED","-0.1524mm","4.5720mm","270",""
"D72","LED","TopLayer","0603_CHIP_SMD_LED","-2.7491mm","26.1559mm","276",""
"D71","LED","TopLayer","0603_CHIP_SMD_LED","-5.4681mm","25.7253mm","282",""
"D70","LED","TopLayer","0603_CHIP_SMD_LED","-8.1271mm","25.0128mm","288",""
"D69","LED","TopLayer","0603_CHIP_SMD_LED","-10.6972mm","24.0262mm","294.000007629395",""
"D68","LED","TopLayer","0603_CHIP_SMD_LED","-11.9000mm","20.6114mm","300",""
"D67","LED","TopLayer","0603_CHIP_SMD_LED","-13.1500mm","22.7765mm","300",""
"D66","LED","TopLayer","0603_CHIP_SMD_LED","-15.4588mm","21.2771mm","306.000007629395",""
"D65","LED","TopLayer","0603_CHIP_SMD_LED","-17.5981mm","19.5447mm","312",""
"D64","LED","TopLayer","0603_CHIP_SMD_LED","-19.5447mm","17.5981mm","318",""
"D63","LED","TopLayer","0603_CHIP_SMD_LED","-21.2771mm","15.4588mm","324",""
"D62","LED","TopLayer","0603_CHIP_SMD_LED","-22.7765mm","13.1500mm","330.000015258789",""
"D61","LED","TopLayer","0603_CHIP_SMD_LED","-20.6114mm","11.9000mm","330.000015258789",""
"D60","LED","TopLayer","0603_CHIP_SMD_LED","-24.0262mm","10.6972mm","336",""
"D59","LED","TopLayer","0603_CHIP_SMD_LED","-25.0129mm","8.1269mm","342.02197265625",""
"D58","LED","TopLayer","0603_CHIP_SMD_LED","-25.7253mm","5.4681mm","348",""
"D57","LED","TopLayer","0603_CHIP_SMD_LED","-26.1559mm","2.7491mm","354.000015258789",""
"D56","LED","TopLayer","0603_CHIP_SMD_LED","-26.3000mm","0.0000mm","360",""
"D55","LED","TopLayer","0603_CHIP_SMD_LED","-23.8000mm","0.0000mm","360",""
"D54","LED","TopLayer","0603_CHIP_SMD_LED","-26.1559mm","-2.7491mm","5.99998474121094",""
"D53","LED","TopLayer","0603_CHIP_SMD_LED","-25.7253mm","-5.4681mm","12",""
"D52","LED","TopLayer","0603_CHIP_SMD_LED","-25.0128mm","-8.1271mm","17.9999847412109",""
