Altium Designer Pick and Place Locations
C:\Dev\clock\Outputs\2020-10-18\Pick Place for clock.csv

========================================================================================================================
File Design Information:

Date:       18/10/20
Time:       19:23
Revision:   da523cb83bea17de0a4696e229a51f5a46c17e58
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C6","Cap","BottomLayer","CAPC_0603_1608X08L","-28.8838mm","17.0280mm","90","Capacitor"
"ALS1","PHOTOTRANSISTOR","TopLayer","ALS-PT19-315C","-27.0052mm","17.0030mm","270","Photo transistor"
"C9","Cap","BottomLayer","CAPC_0603_1608X08L","-20.4732mm","-35.6094mm","90","Capacitor"
"R10","RES0603","BottomLayer","RESC1608X03L","-20.4732mm","-33.3505mm","270","Chip Resistor"
"IC6","ESP8266 ESP-12-F","BottomLayer","ESP8266_ESP-12-E","20.6899mm","-28.1966mm","360","ESP8266 ESP-12-F"
"IC4","STM32G030F6P6","BottomLayer","TSOP65P630X120-20L","-25.0894mm","-38.4481mm","360","MCU 64MHz tssop20"
"IC3","TLC5949PWP","BottomLayer","TSOP65P640X120-24L_-_POWERPAD","-15.4381mm","-27.9559mm","0","16 channel cc sink led driver"
"R9","RES0603","BottomLayer","RESC1608X03L","-12.9714mm","-7.2130mm","90","Chip Resistor"
"R8","RES0603","BottomLayer","RESC1608X03L","21.5883mm","2.6182mm","270","Chip Resistor"
"R7","RES0603","BottomLayer","RESC1608X03L","-2.7500mm","19.2715mm","360","Chip Resistor"
"R6","RES0603","BottomLayer","RESC1608X03L","-6.7462mm","18.0673mm","270","Chip Resistor"
"R5","RES0603","BottomLayer","RESC1608X03L","-18.8322mm","2.1896mm","360","Chip Resistor"
"R4","RES0603","BottomLayer","RESC1608X03L","-12.4494mm","-13.5362mm","360","Chip Resistor"
"R3","RES0603","BottomLayer","RESC1608X03L","19.8624mm","-1.9464mm","360","Chip Resistor"
"R2","RES0603","BottomLayer","RESC1608X03L","10.0403mm","15.1581mm","180","Chip Resistor"
"R11","RES0603","BottomLayer","RESC1608X03L","-25.6879mm","-43.5021mm","360","Chip Resistor"
"C10","Cap","BottomLayer","CAPC_0603_1608X08L","-28.0831mm","-43.5021mm","360","Capacitor"
"S2","4-1437565-1","BottomLayer","FSM-SWITCH","13.9994mm","23.9558mm","270","6x6mm SMD tactile switch,SPST-NO"
